,GEO.id,GEO.id2,population,sex_ratio,median_age,senior_ratio,%white,%black,%asian,%hispanic,fract,%poverty,%unemployment,median_income,gini,%no_high_school,%bachelor,%same_house,mean_bldg_age,%occupancy,%ownership
40,1400000US36005006800,36005006800,3288,131.2,31.6,21.8,9.884428223844283,24.635036496350367,2.8588807785888077,43.552311435523116,0.6617704244883702,10.553527980535279,12.5,47232.0,0.3902445360075514,25.200000000000003,13.8,77.8,56.43396226415094,91.88679245283019,30.903490759753595
41,1400000US36005006900,36005006900,8554,77.7,26.9,16.9,8.043020808978255,25.07598784194529,0.5377601122281974,42.938975917699324,0.6391761037951199,18.272153378536355,16.7,19741.0,0.48465137784016044,39.3,17.4,89.8,44.2012893982808,95.55873925501433,6.10944527736132
42,1400000US36005007000,36005007000,4568,90.7,31.0,12.5,16.96584938704028,19.461471103327497,3.830998248686515,45.46847635726795,0.6310710827012553,12.34676007005254,11.8,34191.0,0.44315484934680716,38.9,11.7,84.9,56.266937669376695,89.56639566395664,16.036308623298034
43,1400000US36005007100,36005007100,2547,73.6,28.4,13.3,7.773851590106007,30.545740086376128,0.6674519042010209,49.23439340400471,0.5319531095730075,12.956419316843345,16.5,38289.0,0.40618498838167527,25.299999999999997,22.7,90.9,29.338692390139336,92.17577706323688,37.7906976744186
44,1400000US36005007200,36005007200,5822,100.9,30.7,17.1,14.874613534867741,12.968052215733424,18.515973892133285,38.78392305049811,0.7222671476403899,15.200961868773618,7.4,37634.0,0.42027085766562833,32.599999999999994,21.3,82.8,64.87695749440716,93.0089485458613,25.13529765484065
45,1400000US36005007300,36005007300,3761,98.5,29.6,14.4,6.780111672427545,28.21058229194363,0.0,39.9095985110343,0.6541622372830886,28.051050252592397,20.2,18358.0,0.41466657733559953,45.3,5.5,86.5,57.20115356885364,93.07858687815428,1.2393493415956625
46,1400000US36005007400,36005007400,3635,92.2,39.5,23.3,26.244841815680882,25.364511691884456,0.2200825309491059,55.81843191196699,0.47272214012854546,7.482806052269601,7.1,44455.0,0.41300322458325756,21.200000000000003,22.4,94.8,43.705673758865245,96.52482269503547,42.248346803820716
47,1400000US36005007500,36005007500,5599,58.7,28.4,21.0,8.447937131630647,28.82657617431684,0.0,45.82961243079121,0.6018161906734489,14.556170744775853,8.5,25452.0,0.42487999233590046,32.2,13.9,75.7,46.00453926463913,92.37403540626418,14.496314496314497
48,1400000US36005007600,36005007600,5587,92.3,30.4,14.3,18.220869876499016,17.84499731519599,6.676212636477537,47.43153749776267,0.6349711572182849,18.41775550384822,9.4,33465.0,0.4378082943306082,39.0,10.8,92.0,63.02744425385935,91.7095483133219,18.890274314214466
49,1400000US36005007700,36005007700,1933,83.4,31.8,10.1,10.553543714433523,22.090015519917227,0.0,51.37092602172788,0.5057397465909842,18.934299017071908,13.6,26486.0,0.4370725730292957,30.900000000000006,13.1,89.3,44.681528662420384,96.01910828025477,25.538971807628524
50,1400000US36005007800,36005007800,6518,86.5,29.2,16.5,15.787051242712488,16.078551702976373,9.911015648972077,48.37373427431728,0.6014984020929696,16.738263270942006,15.7,30437.0,0.4528112103676054,33.3,13.2,88.8,60.485611510791365,90.69244604316546,13.981160138820028
51,1400000US36005007900,36005007900,6420,94.4,28.8,19.3,13.021806853582554,17.38317757009346,0.0,59.283489096573206,0.42724185033142154,18.847352024922117,14.4,24278.0,0.46687213297425423,47.2,7.7,92.5,60.88635454181673,93.63745498199279,2.307692307692308
52,1400000US36005008300,36005008300,6882,94.7,32.6,11.1,5.7832025573961054,14.472537053182213,4.1702993315896535,57.0909619296716,0.4428946129806719,21.25835512932287,14.1,19818.0,0.470691011069291,48.3,13.8,84.6,60.9452736318408,96.92446856625962,10.872608492767148
53,1400000US36005008400,36005008400,2289,87.6,33.0,17.7,19.877675840978593,30.974224552206202,2.8833551769331587,46.08999563128003,0.614169310515217,6.247269550021843,10.2,60135.0,0.3867131217589449,19.700000000000003,22.2,97.1,43.30911492734478,90.3566710700132,58.91812865497076
