,ALARM_BOX_LOCATION,location,lat,lon
88,TROY AVE & STERLING PL,"Troy Ave & Sterling Pl, Brooklyn, NY 11213, USA",40.671774,-73.93641459999998
89,BEDFORD AVE & EASTERN PKWY,"Eastern Pkwy & Bedford Ave, Brooklyn, NY 11216, USA",40.6701609,-73.9552643
90,SURF AVE & W 25 ST,"W 25th St & Surf Ave, Brooklyn, NY 11224, USA",40.5734815,-73.9917645
91,AVENUE N & E 48 ST,"Avenue N & E 48th St, Brooklyn, NY 11234, USA",40.6188188,-73.92882440000002
92,S/S TILLARY ST 100' W OF NAVY ST,"100 Navy St, Brooklyn, NY 11201, USA",40.6956762,-73.9803404
93,HEGEMAN AV & PENNSYLVANIA AV/G. PAYNE AV,"Hegeman Ave & Pennsylvania Ave, Brooklyn, NY 11207, USA",40.6599257,-73.8916423
94,ILION AVE & MAYVILLE ST,"Mayville St & Ilion Ave, Queens, NY 11412, USA",40.699808,-73.76858399999998
95,AMSTERDAM AVE & 160 ST,"Amsterdam Ave & W 160th St, New York, NY 10032, USA",40.83472860000001,-73.9406776
96,FORT HAMILTON PWAY & 58 ST,"Fort Hamilton Pkwy & 58th St, Brooklyn, NY 11219, USA",40.634074,-74.0040999
97,THOMPSON & BLEECKER STS,"Bleecker St & Thompson St, New York, NY 10012, USA",40.72843870000001,-73.9996714
98,BARKER AVE & BRITTON ST,"Barker Ave & Britton St, The Bronx, NY 10467, USA",40.8666101,-73.8691575
99,MYRTLE AVE & BROADWAY,"Myrtle Av/Broadway, Brooklyn, NY 11206, USA",40.69682299999999,-73.93539
100,BRADDOCK AVE & 241 ST,"Braddock Ave & 241st St, Queens, NY 11426, USA",40.7263335,-73.7274755
101,AVE ST. JOHN & SOUTHERN BLVD,"Southern Blvd & Avenue St John, The Bronx, NY 10455, USA",40.8129396,-73.90147499999998
102,BEAVER RD & 158 ST,"158th St & Beaver Rd, Queens, NY 11433, USA",40.7011975,-73.8015618
103,WYTHE AV-BTW DIVISON & CLYMER STS,"Wythe Ave, Brooklyn, NY, USA",40.71315379999999,-73.96564659999999
104,YORK AVE & 67 ST,"York Ave & E 67th St, New York, NY 10065, USA",40.763667,-73.95608299999998
105,MADISON AVE & 65 ST,"Madison Ave & E 65th St, New York, NY 10065, USA",40.7673485,-73.96867089999998
106,FLATBUSH AVE & PARK PL,"Park Pl & Flatbush Ave, Brooklyn, NY 11217, USA",40.6775365,-73.9727063
107,PARKHILL AVE 500' SO. OF OSGOOD AVE,"500 Osgood Ave, Staten Island, NY 10304, USA",40.6160277,-74.0788599
108,LEXINGTON AVE & E 49 ST,"Lexington Ave & E 49th St, New York, NY 10022, USA",40.755876,-73.9728338
109,12 AVE & 83 ST,"12th Ave & 83rd St, Brooklyn, NY 11228, USA",40.617118,-74.01432700000002
110,7 AVE & W 42 ST,"W 42nd St & 7th Ave, New York, NY 10036, USA",40.7560341,-73.98693840000001
111,MOUNT EDEN & MORRIS AVES,"Mt Eden Pkwy & Morris Ave, The Bronx, NY 10457, USA",40.842769200000006,-73.909589
112,8 AVE & 153 ST,"Frederick Douglass Blvd & W 153rd St, New York, NY 10039, USA",40.8278847,-73.9382362
113,MAUJER ST & LEONARD ST,"Maujer St & Leonard St, Brooklyn, NY 11211, USA",40.71059210000001,-73.9471007
114,MADISON AVE & 101 ST,"Madison Ave & E 101st St, New York, NY 10029, USA",40.7904206,-73.95181699999998
115,7 AVE & POLY PL,"Poly Pl & 7th Ave, Brooklyn, NY 11209, USA",40.6096714,-74.02481270000001
116,CASTLE HILL & RANDALL AVES,"Castle Hill, The Bronx, NY 10473, USA",40.8176831,-73.85072790000002
117,HUDSON ST & GANSEVOORT ST,"Hudson St & Gansevoort St, New York, NY 10014, USA",40.7394118,-74.0053906
118,10 AVE & W 49 ST,"10 W 49th St, New York, NY 10020, USA",40.75813429999999,-73.9785412
119,PITT & RIVINGTON STS,"Rivington St & Pitt St, New York, NY 10002, USA",40.7183105,-73.98250490000002
120,MERRILL AVE & SOUTH AVE/OVFD,"New York, NY, USA",40.7127753,-74.0059728
121,E BEDFORD PK BLVD & GRAND CONCOURSE,"Grand Concourse & Bedford Park Blvd, The Bronx, NY 10468, USA",40.8721527,-73.8880703
122,DECATUR ST & MARCUS GARVEY BLVD/SUMNER A,"Sumner Cafe, 144 Decatur St, Brooklyn, NY 11233, USA",40.6806654,-73.9374622
123,REDFERN AVE 600' E OF NAMEOKE AVE,"Redfern Ave, New York, NY, USA",40.6094494,-73.7510228
124,SUTTER & GEORGIA AVES,"Sutter Av/Georgia Av, Brooklyn, NY 11207, USA",40.669086,-73.896698
125,GREENE AVE & GARVEY BLVD/SUMNER AVE,"47 Marcus Garvey Blvd, Brooklyn, NY 11206, USA",40.697993200000006,-73.94068879999998
126,133 AVE & 140 ST,"133rd Ave & 140th St, Queens, NY 11436, USA",40.6693199,-73.7986142
127,34 AVE & 14 ST,"34 E 14th St, New York, NY 10003, USA",40.7351864,-73.99212419999998
128,CENTRAL PARK W. & 63 ST,"Central Park, New York, NY, USA",40.78286470000001,-73.9653551
129,BELT PWAY BTW ROCKAWAY BLVD & 225 ST,"225 Rockaway Blvd, Jamaica, NY 11434, USA",40.6595881,-73.7735545
130,GLENWOOD RD & E 31 ST,"Glenwood Rd & E 31st St, Brooklyn, NY 11210, USA",40.6340656,-73.94680809999998
131,WILLOUGHBY ST & DUFFIELD ST,"Willoughby St & Duffield St, Brooklyn, NY 11201, USA",40.6921204,-73.98433899999998
132,TINTON AVE & 166 ST,"E 166th St & Tinton Ave, The Bronx, NY 10456, USA",40.8262828,-73.9016608
133,N CONDUIT AVE & 150 ST,"150th St & N Conduit Ave, Queens, NY 11436, USA",40.6668421,-73.7893983
134,HOYT ST & BALTIC ST,"Baltic St & Hoyt St, Brooklyn, NY 11201, USA",40.6839615,-73.9895714
135,BROADWAY & W 46 ST,"Broadway & W 46th St, New York, NY 10036, USA",40.758705600000006,-73.9853435
136,IRT 1 ? W 86 ST & BROADWAY,"2345 Broadway, New York, NY 10024, USA",40.7882728,-73.97690940000003
137,AVENUE V & FORD ST,"Avenue V & Ford St, Brooklyn, NY 11229, USA",40.5987231,-73.9377167
138,WEST END AVE & 99 ST,"W 99th St & West End Ave, New York, NY 10025, USA",40.79720620000001,-73.97180999999998
139,COLUMBUS AVE & 86 ST,"W 86th St & Columbus Ave, New York, NY 10024, USA",40.7864991,-73.97218640000001
140,AVE OF AMERICAS & MINETTA LA,"6th Ave & Minetta Ln, New York, NY 10014, USA",40.7305359,-74.00172789999998
141,QUENTIN RD & E 17 ST,"E 17th St & Quentin Rd, Brooklyn, NY 11229, USA",40.6084711,-73.9563002
142,1 AVE & ST. MARKS PL,"St Marks Pl & 1st Avenue, New York, NY 10009, USA",40.7275967,-73.98529470000003
143,HEGEMAN AVE & MILFORD ST,"Hegeman Ave & Milford St, Brooklyn, NY 11208, USA",40.667317,-73.87451089999998
144,LESLIE RD & 178 PL,"Leslie Rd & 178th Pl, Queens, NY 11434, USA",40.6840589,-73.76467020000003
145,GRAND AVE OPP LEXINGTON AVE,"Grand Central Terminal, 89 E 42nd St, New York, NY 10017, USA",40.75272620000001,-73.97722940000001
